NAME,total_population,median_household_income,poverty_universe,people_below_poverty,total_housing_units,vacant_housing_units,education_population_25_plus,bachelors_degree,masters_degree,professional_degree,doctorate_degree,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E,state,county_x,state_fips,county_fips,full_fips,county_name,population_65_plus,bachelors_or_higher,poverty_rate,vacancy_rate,age_65_plus_rate,bachelors_or_higher_rate,county_y,region
"Adams County, Illinois",64754,66220,62964,8084,30302,2387,45024,8387,2975,569,434,894,1121,1568,1277,640,661,656,1357,1816,1252,938,1137,17,001,17,001,17001,Adams,13317,12365,12.839082650403405,7.877367830506238,20.56552490965809,27.46313077469794,Adams,Central
"Alexander County, Illinois",4875,47043,4773,908,2938,1034,3497,279,150,10,0,105,41,186,81,71,56,111,102,172,95,109,86,17,003,17,003,17003,Alexander,1215,439,19.023674837628327,35.19400953029271,24.923076923076923,12.553617386331142,Alexander,Southern
"Bond County, Illinois",16716,65959,14625,1591,6899,752,11415,1413,682,143,230,192,289,425,273,138,98,270,360,314,242,224,312,17,005,17,005,17005,Bond,3137,2468,10.878632478632479,10.90013045368894,18.766451304139746,21.62067455102935,Bond,Southern
"Boone County, Illinois",53230,84571,52591,5224,20291,831,35680,5087,2392,668,289,536,1028,1087,806,401,362,697,814,1138,798,645,604,17,007,17,007,17007,Boone,8916,8436,9.93325854233614,4.09541175890789,16.749953034003383,23.643497757847534,Boone,Northeast
"Brown County, Illinois",6322,67917,4380,405,2321,280,4801,470,121,13,0,100,80,174,96,20,55,99,90,91,95,69,60,17,009,17,009,17009,Brown,1029,604,9.246575342465754,12.063765618267988,16.276494780132868,12.580712351593418,Brown,Central
"Bureau County, Illinois",32866,69257,32318,3479,15630,1602,23539,3492,1292,233,82,414,703,937,569,464,407,433,787,951,828,610,511,17,011,17,011,17011,Bureau,7614,5099,10.764898817996164,10.249520153550863,23.16679851518286,21.661922766472664,Bureau,Northwest
"Calhoun County, Illinois",4330,93203,4234,267,2300,1061,3102,467,106,43,8,79,102,151,77,106,30,40,91,151,109,67,98,17,013,17,013,17013,Calhoun,1101,624,6.306093528578177,46.130434782608695,25.42725173210162,20.116054158607348,Calhoun,Southern
"Carroll County, Illinois",15576,60758,13916,1976,8204,1626,11599,1525,454,30,50,198,437,446,342,261,122,318,331,428,397,258,230,17,015,17,015,17015,Carroll,3768,2059,14.199482609945385,19.819600195026815,24.19106317411402,17.75153030433658,Carroll,Northwest
"Cass County, Illinois",12784,68125,12681,1406,5676,548,8657,1275,405,93,24,142,214,302,184,43,146,122,237,397,195,136,189,17,017,17,017,17017,Cass,2307,1797,11.087453670846148,9.654686398872446,18.04599499374218,20.757768280004623,Cass,Central
"Champaign County, Illinois",208741,63683,193591,36921,95115,9643,121243,25376,18779,3717,8119,1806,2623,3657,2328,1372,1185,2489,2846,4020,2915,1873,1870,17,019,17,019,17019,Champaign,28984,55991,19.071651058158697,10.13825369289807,13.88514953938134,46.18081043854078,Champaign,Central
