county,state_fips,county_fips,region
Adams,17,001,Central
Alexander,17,003,Southern
Bond,17,005,Southern
Boone,17,007,Northeast
Brown,17,009,Central
Bureau,17,011,Northwest
Calhoun,17,013,Southern
Carroll,17,015,Northwest
Cass,17,017,Central
Champaign,17,019,Central
Christian,17,021,Central
Clark,17,023,Central
Clay,17,025,Southern
Clinton,17,027,Southern
Coles,17,029,Central
Cook,17,031,Northeast
Crawford,17,033,Southern
Cumberland,17,035,Central
DeKalb,17,037,Northeast
DeWitt,17,039,Central
Douglas,17,041,Central
DuPage,17,043,Northeast
Edgar,17,045,Central
Edwards,17,047,Southern
Effingham,17,049,Southern
Fayette,17,051,Southern
Ford,17,053,Central
Franklin,17,055,Southern
Fulton,17,057,Central
Gallatin,17,059,Southern
Greene,17,061,Southern
Grundy,17,063,Northeast
Hamilton,17,065,Southern
Hancock,17,067,Central
Hardin,17,069,Southern
Henderson,17,071,Northwest
Henry,17,073,Northwest
Iroquois,17,075,Central
Jackson,17,077,Southern
Jasper,17,079,Southern
Jefferson,17,081,Southern
Jersey,17,083,Southern
Jo Daviess,17,085,Northwest
Johnson,17,087,Southern
Kane,17,089,Northeast
Kankakee,17,091,Northeast
Kendall,17,093,Northeast
Knox,17,095,Northwest
Lake,17,097,Northeast
LaSalle,17,099,Central
Lawrence,17,101,Southern
Lee,17,103,Northwest
Livingston,17,105,Northeast
Logan,17,107,Central
McDonough,17,109,Central
McHenry,17,111,Northeast
McLean,17,113,Central
Macon,17,115,Central
Macoupin,17,117,Southern
Madison,17,119,Southern
Marion,17,121,Southern
Marshall,17,123,Northwest
Mason,17,125,Central
Massac,17,127,Southern
Menard,17,129,Central
Mercer,17,131,Northwest
Monroe,17,133,Southern
Montgomery,17,135,Southern
Morgan,17,137,Central
Moultrie,17,139,Central
Ogle,17,141,Northwest
Peoria,17,143,Central
Perry,17,145,Southern
Piatt,17,147,Central
Pike,17,149,Central
Pope,17,151,Southern
Pulaski,17,153,Southern
Putnam,17,155,Northwest
Randolph,17,157,Southern
Richland,17,159,Southern
Rock Island,17,161,Northwest
St. Clair,17,163,Southern
Saline,17,165,Southern
Sangamon,17,167,Central
Schuyler,17,169,Central
Scott,17,171,Central
Shelby,17,173,Central
Stark,17,175,Northwest
Stephenson,17,177,Northwest
Tazewell,17,179,Central
Union,17,181,Southern
Vermilion,17,183,Central
Wabash,17,185,Southern
Warren,17,187,Northwest
Washington,17,189,Southern
Wayne,17,191,Southern
White,17,193,Southern
Whiteside,17,195,Northwest
Will,17,197,Northeast
Williamson,17,199,Southern
Winnebago,17,201,Northwest
Woodford,17,203,Central
